username;first_name;last_name;email;password;password_confirm;direccion
12345678-9;Chester;Bennington;cbennington@mail.com;1234;1234;123 Linkinpark Av
23456789-0;Bruno;Diaz;bdiaz@mail.com;1234;1234;456 Gotica St.
34567890-1;Tanjito;Kamado;tkamado@mail.com;1234;1234;789 Aldea Ave.
45678901-2;Picoro;Daimacu;pdaimacu@mail.com;1234;1234;321 Mountain Blvd.
56789012-3;Seiya;Pegaso;spegaso@mail.com;1234;1234;555 Athena Rd.
67890123-4;Ikki;Fenix;ifenix@mail.com;1234;1234;777 Isla Muerte.
78901234-5;Shiryu;Dragon;sdragon@mail.com;1234;1234;999 Montaña 7 Dragones.
89012345-6;Hyoga;Cisne;hcisne@mail.com;1234;1234;444 Antartida St.
90123456-7;Shun;Andromeda;sandromeda@mail.com;1234;1234;222 Isla Andromeda.
01234567-8;Michael;Jordan;mjorda@mail.com;1234;1234;666 Chicago Bulls Ave.
